主题（动宾）,正文(可缺省),分类,场景标签,时间
"回应是个最无解的事情，自证是一个最傻的行为
用你扣我帽子的方法，扣他的帽子，让他感受一下，你不能双标把。只许你狗叫，不许我带耳塞了？
管我什么事，有些人在哪里断章取义
当别人来问你和，质疑你。你应该先反质疑回他：你是不是收钱了，我为什么要回应，明显就是断章取义
我凭什么要自证？证明一件自己没干过的事情是很难得？你怎么证明你没有收钱？怎么证明你不是250？
自证是没底的，你永远没办法证明你是无辜的
有些人只是想煽动对立罢了，在网络上",,"交往, 网络",,
别人帮忙后，出于礼貌，钱对方可以不要，但是意思一定要给,,交往,,
"要给人情绪价值：是不是来点情绪，不要太平淡
多哇一下",,交往,,
很多突发事件，最需要的其实是有人站出来,,网络,,
"就跟政治生每天听新闻联播要听的脑子起茧一样，
计算机人不能放弃对新技术，深度，广度，技术栈的探索。多刷题，多联系",,"个人提升, 工作",,
不要觉得自己还在读书/学校里，就天高皇帝远，不考虑未来,,"人生规划, 学业",,
考公考研只是作为自我驱动学习的一个动力,,"学业, 人生规划",,
"假如家里不缺你挣这个钱钱
你在打怪练级升装备的时候
你要好好的规划好你想做的事情，不要着急
未来5年，8年你要的东西
3-4年工作磨合
",,"学业, 人生规划",,
"你在学校的毕设和课设，交给外包拖别人完成
出去工作的时候就是：这这不会做，那那不会做（excel不会，word不会排版，ppt不会，代码代码不会）",,学业,,
"时间很长，不要因为自己一时预判失误（这一波没有追上去）而后悔
人不可能一直成功，或者一直失败的。不要因为你一个决策失误而后悔",,人生规划,,
要爱具体的人，不要爱抽象的人。珍惜所有你认识的，爱你的，你爱的人,,交往,,
信息差，一定不可能通过自媒体了解的（自媒体能赚钱，为什么要靠自媒体赚钱呢，特别是咨询类自媒体）,,工作,,
"“你太急切的想要一个答案了。想要风光的学位，瞬间的博学，想要意气风发，想闪着金光走向喜欢的人。但现实告诉我，操之过急便会败北，他要我等，要我耐得住不断延长的时间线，要我交付出足够的努力堆砌在沉闷、晦涩的时光里，才肯将一切“我想要”一点一点递送至我手里。“我知道你最近很累，是那种看不见的，身体上和精神上的疲惫感，但是请你一定要坚持下去。就算无人问津也好，技不如人也罢，千万别让烦恼和焦虑毁了你本就不多的热情和定力。

别贪心,我们不可能什么都有，别担心，我们也不可能什么都没有。“不要再这样下去，一晚一晚的熬。想东想西，实在是矫情，真的该关掉手机，断了一些没必要的联系，扔掉所有负能量，认认真真的生活，再去做一些正儿八经的事儿。”“你要留点精力去读书去运动去爱人，去奔赴你想要的生活，不应该把精力浪费在痛苦的社交讨厌的人那里，看起来可以挽回的事情，仔细想想一点都不值得，贪恋过去的快乐注定走不远，过去的就让它过去吧",,"网络, 个人提升",,
上课和知识付费解决的是焦虑问题,,"网络, 学业",,
"自证陷阱：让别人自证xx
反问别人哪来的证据 ¿",,网络,,
"特朗普都度过万难，这么努力
你凭什么不努力呢？
特朗普 卧薪尝胆半生 忍辱几多
其实川普说出了一个我人近中年才悟出的 一个朴实真理：你要想过得更好，就要努力去奋斗。
这道理好像应该是小孩子都明白的道理，而且我们都从小就耳濡目染听我们身边的人不厌其烦重复，然而我们大部分人并没有真的听进去，我甚至到了大学毕业都不明白为什么学习。
我这一生只努力了3次，而且都成功了，一次中考，一次高考，还有一次是我鼓起勇气跟我暗恋的女生表白。而此后我的人生没有追求没有理想，我思考人生的时间多于我脚踏实地努力的时间。",,"个人提升, 网络",,
懂王的一些政策确实难以实现，但是难以实现就不做了嘛？只有去做了，才知道怎么去慢慢修改，实践出真知,,"个人提升, 网络",,
"照顾一个女生从关注她的生理期开始
时间上多照顾她，多关注时间，比她更了解
",,交往,,
【找对象文理科】不是钱的事情，理工科男生有时候真的和文科女生聊不来，思维不是一个模式，谈过或者深入接触过几个就懂了,,交往,,
【相亲贴】本人相亲:97年、男、河北人在天津。身高174cm，体重75kg，德国自动化专业硕士、今年刚刚毕业回国、天津外企，岗位是工程师。有车无房，家里关系和谐。不抽烟，不喝酒、没谈过恋爱。希望你河北人，也在天津，身高161以上，体重正常，有正式的工作或在校学生。年龄近似。家庭和谐，无不良嗜好，感情经历少。联系方式pei1007084562@gmail.com。感谢大家耐心读完。,,交往,,
现在人谁差那点经济实力，都是往喜欢了挑,,交往,,
"择偶标准：
对自己有长期规划，有风险管控标准（风控意识）现金流和固定资产的管理，小心系统性风险导致全局问题",,交往,,
"学过博弈论都知道
所有人在计算后都会做出对自己最稳的选择，哪怕他不是全局最优解",,交往,,
但是绝对的理性只能让你成为middem的人，你想脱颖而出就要上杠杆,,交往,,
"
男女之间，带上别人一起玩，就说明已经寄了",,交往,,
世界就是个巨大的卡颜局，但是除了所谓恋爱，我们还有理想，有追求，有事业，这些才是最珍贵的。换而言之，事业才是我真正的爱人。同志们，让我们追逐星辰大海！,,交往,,
说着所谓的“不谈恋爱”“不随便谈恋爱”其实是不想和你谈，让你死心,,交往,,
偶遇的人能成为你的好朋友，但很难成为你亲密的人（没有长时间接触）,,交往,,
总（会/得）有一个异性填充你的生活,,交往,,
配得感：“我可以，我配得上，我值得”,,交往,,
不管谁面试还是谈恋爱，你总要觉得自己是有一定的亮点在（亮点&过人之处）所以大胆一点自信一点,,交往,,
人生是荒谬的，无法归因的，混沌的的基础上，你只能珍惜你已经有的一些运气，你能做的一些努力是你唯一能把握的,,交往,,
"挣两万多 高风险高回报的人在一起
挣几千块钱 低风险低回报的人，混在一起",,交往,,
"人都是喜新厌旧的
友情能坚持六个月是真的不容易（相处会腻） 
",,交往,,
恋爱一定是要双方的付出的，当你付出较多时，就可以放弃了 ,,交往,,
打开抖音主页刷20条视频，你就知道这个人是什么人了,,交往,,
"不要当舔狗，要各取所需
当对方给不了你情绪价值，趁早离开是最好的选择 ",,交往,,
"一个普通女孩子化妆前化妆后是两个人
百合显著更多（女生更会打扮自己，花更多时间和精力4）",,交往,,
"对人的一个刻板印象和有色眼镜
当你和一个人相处久了，你就会对他产生刻板印象（有时候第一印象很重要）
当你改变之后，别人不一定认可或者意识到你这个改变",,交往,,
不要太在意别人，你家人的观点，你家人的看法和评价，他们只会给你带来无形的压力。有时候要能左耳进右耳出。有时候亲密的人说的话对你的权重是很高的 ,,交往,,
"当：你的伴侣/朋友逐渐疏远你
他们的交际圈逐渐扩大
（maybe这不是你的原因 只是因为他越来越忙了 有了他的交际圈）
你也就被边缘化了
所以有一个长期伴侣很重要 ",,交往,,
与人交往，保留多一点秘密，才能留住神秘感 ,,交往,,
"爱情没有了交集就是危险的开始。特别是双方的需求和观念存在差异又无法抹平时（只筛选 不培养）
",,交往,,
"悖论：能促进感情亲密的东西，不一定能产生良好的欲望，感情需要两个人亲密无间，甚至融为一体，是彼此拥有的感觉。而欲望需要两个人保持自主性和差异性，是想要的感觉。
拥有了，就不会再想要，拥有了就不会再想要，感情上的亲密会抑制欲望的表达
所以应该在不影响感情的前提下，彼此保留一定的私人空间，营造舒适的距离感
千万不要把对方当做自己“已经拥有的东西”
而是始终当做一个对你有吸引力的对象来看待，这样更利于维持需求的稳定",,交往,,
"如果你没谈恋爱（特别是年纪大的时候）女生的想法：
如果你真的很优秀，那么你怎么会找不到女朋友/奖学金/实习xx
不会考虑你其他情况（工作、等等）",,交往,,
不管男生还是女生都会活在信息茧房里，只能搜到男生/女生的东西,,交往,,
直接说很重要，直接沟通，不要猜测,,交往,,
女生有防备心理是正常的，默认所有女生都有防备心,,交往,,
女生的面子也很大，不想让别人觉得他是没面子的样子（不要让自己装的很懂 就算自己懂也要装一下不懂）,,交往,,
别人不喜欢你，不一定是你的原因！不是你的错！做好自己就行了,,交往,,
